0	1	12523
1	2	12523
1	123	12530
1	135	12531
1	159	12532
1	30	12533
1	255	12534
1	146	12536
1	101	12536
1	211	12536
1	397	12537
1	194	12537
1	477	12538
1	302	12540
1	323	12543
1	1014	12550
1	313	12553
1	42	12553
1	36	12555
1	1271	12559
1	312	12562
1	44	12563
1	3	12568
1	1440	12571
1	856	12571
1	1626	12575
1	161	12576
1	281	12583
1	1655	12624
1	1779	12628
1	1790	12640
1	1675	12640
1	652	12648
1	132	12670
1	1312	12675
1	32	12714
2	5	12527
2	400	12546
2	1127	12559
2	3	12589
123	204	12532
123	400	12546
123	1127	12556
123	1269	12565
135	3	12572
135	9	12531
135	42	12564
135	68	12553
135	103	12531
135	105	12531
135	124	12531
135	133	12531
135	289	12534
135	400	12546
135	1000	12551
135	250	12555
135	770	12565
135	1486	12567
135	1356	12568
135	1113	12577
135	257	12581
135	357	12582
135	1713	12609
30	31	12529
30	131	12531
30	132	12531
30	72	12536
30	392	12538
30	103	12541
30	254	12544
30	404	12544
30	644	12545
30	162	12550
30	679	12550
30	161	12550
30	1176	12559
30	1014	12560
30	1667	12602
146	3	12674
146	6	12531
146	26	12564
146	128	12564
146	312	12564
146	308	12564
146	309	12564
146	739	12564
146	679	12565
101	9	12533
101	12	12534
101	32	12534
101	34	12531
101	38	12531
101	41	12534
101	51	12531
101	68	12532
101	88	12532
101	100	12530
101	115	12530
101	103	12531
101	190	12532
101	199	12532
101	184	12532
101	208	12532
101	176	12532
101	211	12532
101	214	12533
101	271	12534
101	515	12538
101	496	12542
101	423	12543
101	462	12543
101	557	12544
101	514	12544
101	124	12544
101	733	12544
101	770	12545
101	847	12545
101	400	12546
101	1002	12551
101	282	12551
101	250	12555
101	198	12555
101	105	12556
101	118	12556
101	1113	12557
101	370	12559
101	1283	12562
101	1281	12563
101	1381	12563
101	991	12564
101	243	12565
101	1269	12565
101	482	12566
101	899	12636
101	193	12644
211	19	12557
211	36	12535
211	44	12539
211	85	12532
211	93	12532
211	103	12557
211	128	12535
211	194	12538
211	213	12532
211	228	12533
211	246	12533
211	233	12533
211	232	12534
211	251	12534
211	260	12534
211	288	12534
211	284	12534
211	265	12535
211	221	12535
211	212	12535
211	525	12540
211	597	12544
