1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 1 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
3 1 1
3 2 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
4 1 1
4 2 1
4 3 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
5 1 1
5 2 1
5 3 1
5 4 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
6 1 1
6 2 1
6 3 1
6 4 1
6 5 1
6 7 1
6 8 1
6 9 1
6 10 1
7 1 1
7 2 1
7 3 1
7 4 1
7 5 1
7 6 1
7 8 1
7 9 1
7 10 1
8 1 1
8 2 1
8 3 1
8 4 1
8 5 1
8 6 1
8 7 1
8 9 1
8 10 1
9 1 1
9 2 1
9 3 1
9 4 1
9 5 1
9 6 1
9 7 1
9 8 1
9 10 1
10 1 1
10 2 1
10 3 1
10 4 1
10 5 1
10 6 1
10 7 1
10 8 1
10 9 1
11 12 1
11 13 1
11 14 1
11 15 1
11 16 1
11 17 1
11 18 1
11 19 1
11 20 1
12 11 1
12 13 1
12 14 1
12 15 1
12 16 1
12 17 1
12 18 1
12 19 1
12 20 1
13 11 1
13 12 1
13 14 1
13 15 1
13 16 1
13 17 1
13 18 1
13 19 1
13 20 1
14 11 1
14 12 1
14 13 1
14 15 1
14 16 1
14 17 1
14 18 1
14 19 1
14 20 1
15 11 1
15 12 1
15 13 1
15 14 1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
16 11 1
16 12 1
16 13 1
16 14 1
16 15 1
16 17 1
16 18 1
16 19 1
16 20 1
17 11 1
17 12 1
17 13 1
17 14 1
17 15 1
17 16 1
17 18 1
17 19 1
17 20 1
18 11 1
18 12 1
18 13 1
18 14 1
18 15 1
18 16 1
18 17 1
18 19 1
18 20 1
19 11 1
19 12 1
19 13 1
19 14 1
19 15 1
19 16 1
19 17 1
19 18 1
19 20 1
20 11 1
20 12 1
20 13 1
20 14 1
20 15 1
20 16 1
20 17 1
20 18 1
20 19 1
10 21 1
21 22 1
22 23 1
23 24 1
24 0 1
0 25 1
25 26 1
26 27 1
27 28 1
28 20 1
29 30 1
29 31 1
29 32 1
29 33 1
29 34 1
29 35 1
29 36 1
29 37 1
29 38 1
30 29 1
30 31 1
30 32 1
30 33 1
30 34 1
30 35 1
30 36 1
30 37 1
30 38 1
31 29 1
31 30 1
31 32 1
31 33 1
31 34 1
31 35 1
31 36 1
31 37 1
31 38 1
32 29 1
32 30 1
32 31 1
32 33 1
32 34 1
32 35 1
32 36 1
32 37 1
32 38 1
33 29 1
33 30 1
33 31 1
33 32 1
33 34 1
33 35 1
33 36 1
33 37 1
33 38 1
34 29 1
34 30 1
34 31 1
34 32 1
34 33 1
34 35 1
34 36 1
34 37 1
34 38 1
35 29 1
35 30 1
35 31 1
35 32 1
35 33 1
35 34 1
35 36 1
35 37 1
35 38 1
36 29 1
36 30 1
36 31 1
36 32 1
36 33 1
36 34 1
36 35 1
36 37 1
36 38 1
37 29 1
37 30 1
37 31 1
37 32 1
37 33 1
37 34 1
37 35 1
37 36 1
37 38 1
38 29 1
38 30 1
38 31 1
38 32 1
38 33 1
38 34 1
38 35 1
38 36 1
38 37 1
39 40 1
39 41 1
39 42 1
39 43 1
39 44 1
39 45 1
39 46 1
39 47 1
39 48 1
40 39 1
40 41 1
40 42 1
40 43 1
40 44 1
40 45 1
40 46 1
40 47 1
40 48 1
41 39 1
41 40 1
41 42 1
41 43 1
41 44 1
41 45 1
41 46 1
41 47 1
41 48 1
42 39 1
42 40 1
42 41 1
42 43 1
42 44 1
42 45 1
42 46 1
42 47 1
42 48 1
43 39 1
43 40 1
43 41 1
43 42 1
43 44 1
43 45 1
43 46 1
43 47 1
43 48 1
44 39 1
44 40 1
44 41 1
44 42 1
44 43 1
44 45 1
44 46 1
44 47 1
44 48 1
45 39 1
45 40 1
45 41 1
45 42 1
45 43 1
45 44 1
45 46 1
45 47 1
45 48 1
46 39 1
46 40 1
46 41 1
46 42 1
46 43 1
46 44 1
46 45 1
46 47 1
46 48 1
47 39 1
47 40 1
47 41 1
47 42 1
47 43 1
47 44 1
47 45 1
47 46 1
47 48 1
48 39 1
48 40 1
48 41 1
48 42 1
48 43 1
48 44 1
48 45 1
48 46 1
48 47 1
38 49 1
49 50 1
50 51 1
51 52 1
52 0 1
0 53 1
53 54 1
54 55 1
55 56 1
56 48 1
